memberId,dodsId,pimsId,name,nameListed,nameInFull,gender,dateOfBirth,dateOfDeath,house,houseStartDate,houseEndDate,partyId,party,from,layingMinisterName,state,stateIsActive,stateReason,stateStartDate
1608,74691,5361,Lindsay Roy,"Roy, Lindsay",Lindsay Roy,M,1949-01-19T00:00:00,,Commons,2008-11-06T00:00:00,2015-03-30T00:00:00,15,Labour,Glenrothes,,,false,,
3703,32312,485,Baroness Royall of Blaisdon,"Royall of Blaisdon, B.",The Rt Hon. the Baroness Royall of Blaisdon,F,1955-08-20T00:00:00,,Lords,2004-06-25T00:00:00,,15,Labour,Life peer,,Current Member,true,,2004-06-25T00:00:00
942,,,Sir Anthony Royle,"Royle, Sir Anthony",Sir Anthony Royle,M,1927-03-27T00:00:00,2001-12-28T00:00:00,Commons,1959-10-08T00:00:00,1983-06-09T00:00:00,4,Conservative,Richmond (Surrey),,,false,,
534,25363,488,Chris Ruane,"Ruane, Chris",Chris Ruane,M,1958-07-18T00:00:00,,Commons,1997-05-01T00:00:00,2015-03-30T00:00:00,15,Labour,Vale of Clwyd,,,false,,
3983,41303,5633,Amber Rudd,"Rudd, Amber",Rt Hon Amber Rudd MP,F,1963-08-01T00:00:00,,Commons,2010-05-06T00:00:00,,4,Conservative,Hastings and Rye,Secretary Amber Rudd,Current Member,true,,2015-05-07T00:00:00
190,25364,491,Dame Joan Ruddock,"Ruddock, Dame Joan",Rt Hon Dame Joan Ruddock,F,1943-12-28T00:00:00,,Commons,1987-06-11T00:00:00,2015-03-30T00:00:00,15,Labour,"Lewisham, Deptford",,,false,,
133,25360,492,Mr David Ruffley,"Ruffley, Mr David",Mr David Ruffley,M,1962-04-18T00:00:00,,Commons,1997-05-01T00:00:00,2015-03-30T00:00:00,4,Conservative,Bury St Edmunds,,,false,,
2138,,,Lord Rugby,"Rugby, L.",The Lord Rugby,M,1951-05-04T00:00:00,,Lords,1990-01-12T00:00:00,1999-11-11T00:00:00,6,Crossbench,Hereditary,,,false,,
2343,,,Lord Rugby,"Rugby, L.",The Lord Rugby,M,1913-04-16T00:00:00,1990-01-12T00:00:00,Lords,1969-04-20T00:00:00,1990-01-12T00:00:00,6,Crossbench,Hereditary,,,false,,
1226,,,Dame  Angela Rumbold,"Rumbold, Dame  Angela",Dame  Angela Rumbold,F,1932-08-11T00:00:00,2010-06-19T00:00:00,Commons,1982-06-03T00:00:00,1997-05-01T00:00:00,4,Conservative,Mitcham & Morden,,,false,,
2129,,,Lord Runcie,"Runcie, L.",The Lord Runcie MC,M,1921-10-02T00:00:00,2000-07-11T00:00:00,Lords,1991-02-01T00:00:00,2000-07-11T00:00:00,6,Crossbench,Life peer,,,false,,
2136,,,The Viscount Runciman of Doxford,"Runciman of Doxford, V.",The Rt Hon. the Viscount Runciman of Doxford CBE FBA,M,1934-11-10T00:00:00,,Lords,1989-09-01T00:00:00,1999-11-11T00:00:00,6,Crossbench,Hereditary,,,false,,
2334,,,The Viscount Runciman of Doxford,"Runciman of Doxford, V.",The Rt Hon. the Viscount Runciman of Doxford,M,1900-08-26T00:00:00,1989-09-01T00:00:00,Lords,1949-11-28T00:00:00,1989-09-01T00:00:00,4,Conservative,Hereditary,,,false,,
35,25361,502,Sir Bob Russell,"Russell, Sir Bob",Sir Bob Russell,M,1946-03-31T00:00:00,,Commons,1997-05-01T00:00:00,2015-03-30T00:00:00,17,Liberal Democrat,Colchester,,,false,,
424,25203,503,Christine Russell,"Russell, Christine",Christine Russell,F,1945-03-25T00:00:00,,Commons,1997-05-01T00:00:00,2010-05-06T00:00:00,15,Labour,City of Chester,,,false,,
2145,1958,,Earl Russell,"Russell, E.",Professor the Earl Russell,M,1937-04-15T00:00:00,2004-10-14T00:00:00,Lords,1988-03-21T00:00:00,2004-10-14T00:00:00,17,Liberal Democrat,Excepted Hereditary,,,false,,
2385,,,Earl Russell,"Russell, E.",The Rt Hon. Earl Russell,M,1921-11-16T00:00:00,1987-12-16T00:00:00,Lords,1970-02-02T00:00:00,1987-12-16T00:00:00,6,Crossbench,Hereditary,,,false,,
2428,,,Lord Russell of Killowen,"Russell of Killowen, L.",The Lord Russell of Killowen,M,1908-01-12T00:00:00,1986-06-23T00:00:00,Lords,1975-09-30T00:00:00,1986-06-23T00:00:00,21,Other,Life Peer (judicial),,,false,,
2134,136432,501,Lord Russell of Liverpool,"Russell of Liverpool, L.",The Lord Russell of Liverpool,M,1952-08-30T00:00:00,,Lords,2014-12-11T00:00:00,,6,Crossbench,Excepted Hereditary,,Current Member,true,,2014-12-11T00:00:00
2133,27096,,Lord Russell-Johnston,"Russell-Johnston, L.",The Lord Russell-Johnston,M,1932-07-28T00:00:00,2008-07-27T00:00:00,Lords,1997-07-21T00:00:00,2008-07-27T00:00:00,17,Liberal Democrat,Life peer,,,false,,
2132,,,The Duke of Rutland,"Rutland, D.",His Grace the Duke of Rutland,M,1919-05-28T00:00:00,1999-01-03T00:00:00,Lords,1940-04-22T00:00:00,1999-01-03T00:00:00,21,Other,Hereditary,,,false,,
2436,,,The Duke of Rutland,"Rutland, D.",His Grace the Duke of Rutland,M,1959-05-08T00:00:00,,Lords,1999-01-03T00:00:00,1999-11-11T00:00:00,4,Conservative,Hereditary,,,false,,
4033,83409,5634,David Rutley,"Rutley, David",David Rutley MP,M,1961-03-07T00:00:00,,Commons,2010-05-06T00:00:00,,4,Conservative,Macclesfield,,Current Member,true,,2015-05-07T00:00:00
